Nome,Apelido,Time
Guilherme Aquino Vargas dos Santos,Guilherme Aquino,Coritiba S.a.f.-PR
Gustavo Vilar dos Santos,Gustavo,Maringa Futebol Clube S.a.f.-PR
Hayner Willian Monjardim Cordeiro,Hayner,Coritiba S.a.f.-PR
Henrique Adriano Buss,Henrique,Coritiba S.a.f.-PR
Igor Matheus Liziero Pereira,Liziero,Time nao encontrado
Islam Slimani,Slimani,Coritiba S.a.f.-PR
Jamerson Santos de Jesus,Jamerson,Coritiba S.a.f.-PR
Jean Gabriel Silveira,Jean Gabriel,Coritiba S.a.f.-PR
Jean Henrique Carneiro Pedroso,Jean,Coritiba S.a.f.-PR
Jesé Rodriguez Ruiz,Jesé Rodriguez,Coritiba S.a.f.-PR
Joao Vitor da Silva Almeida,João Vitor,Coritiba S.a.f.-PR
Jorge Vinicius Ribeiro da Silva,Jorge Vinicius,Coritiba S.a.f.-PR
Kaio Cesar Andrade Lima,Kaio Lima,Coritiba S.a.f.-PR
Luan Polli Gomes,Luan Polli,Coritiba S.a.f.-PR
Lucas Henrique Barbosa,Lucas,Coritiba S.a.f.-PR
Lucas Ronier Vieira Pires,LUCAS RONIER,Coritiba S.a.f.-PR
Marco Antonio Amorim de Oliveira Montes,Marcão,Coritiba S.a.f.-PR
Matheus Henrique Bianqui,Matheus,Coritiba S.a.f.-PR
Mauricio de Carvalho Antonio,Mauricio,Coritiba S.a.f.-PR
Mauricio Garcez de Jesus,MAURICIO,Coritiba S.a.f.-PR
Natanael Moreira Milouski,Natanael Milouski,Coritiba S.a.f.-PR
Pedro Luccas Morisco da Silva,Pedro Morisco,Coritiba S.a.f.-PR
Reynaldo Cesar Moraes,Reynaldo,Coritiba S.a.f.-PR
Robson dos Santos Fernandes,Robson,Coritiba S.a.f.-PR
Rodrigo Cunha Pereira de Pinho,Rodrigo,Coritiba S.a.f.-PR
Ruan Lucas de Assis,Ruan Lucas,Coritiba S.a.f.-PR
Sebastian Gomez Londono,Sebastian Gomez,Coritiba S.a.f.-PR
Thalisson Gabriel Pereira Moreira,Thalisson Gabriel,Coritiba S.a.f.-PR
Thiago Dombroski Moreira,Thiago Dombroski,Coritiba S.a.f.-PR
Victor Luis Chuab Zamblauskas,Victor,Coritiba S.a.f.-PR
Wesley da Conceicao Duarte Moreira,Wesley Pomba,Ituano-SP
Willian Roberto de Farias,Willian Farias,Coritiba S.a.f.-PR
Anderson Silva da Paixão,Anderson Paixão,Cruzeiro Saf-MG
Antonio Francisco Moura Neto,Neto,Mirassol-SP
Arielson Sampaio Galvão,Arielson,Time nao encontrado
Arthur Gomes Lourenco,Arthur Gomes,Cruzeiro Saf-MG
Bruno Ferreira Alves,BRUNO ALVES,Cruzeiro Saf-MG
Bruno Rafael Rodrigues do Nascimento,Bruno Rodrigues,Cruzeiro Saf-MG
Carlos Daniel Gomez Ccasani,Carlos Gomez,Cruzeiro Saf-MG
Daniel de Melo Araujo Junior,Daniel JR,Time nao encontrado
Denilson Chaves Goulart,Denilson Goulart,Avaí-SC
Dorival Silva de Oliveira,DORIVAL,Cruzeiro Saf-MG
Fernando Henrique do Nascimento Pereira,Fernando,Cruzeiro Saf-MG
Gabriel Jose Ferreira Mesquita,Gabriel Mesquita,Cruzeiro Saf-MG
Gilberto Oliveira Souza Junior,Gilberto,Cruzeiro Saf-MG
Guilherme Meira Ferreira Alves,Gui Meira,Cruzeiro Saf-MG
Helibelton Palacios Zapata,Palacios,Cruzeiro Saf-MG
Henrique Fernandes da Silva,Henrique,Cruzeiro Saf-MG
Henrique Rodrigues Cardoso,Henrique,Cruzeiro Saf-MG
Hueglo dos Santos Neris,Neris,Cruzeiro Saf-MG
Ian Luccas Baroni Boetto,Ian,Cruzeiro Saf-MG
Igor Marques Paciencia Cardoso,Igor Marques Paciencia Cardoso,Time nao encontrado
Italo Isaac Pereira Lourenco,Italo,Cruzeiro Saf-MG
Jhosefer Raphael Januario,Jhosefer,Cruzeiro Saf-MG
Joao Marcelo Messias Ferreira,Joao Marcelo,Cruzeiro Saf-MG
João Pedro da Cruz Oliveira,João Pedro Oliveira,Cruzeiro Saf-MG
Joao Wellington Gadelha Melo de Oliveira,JAPA,Cruzeiro Saf-MG
Jose Henrique da Silva Dourado,Henrique Dourado,Chapecoense-SC
Juan Christian Pereira Coelho,Juan Christian,Vila Nova-GO
Kaiki Bruno da Silva,Kaiki Bruno,Cruzeiro Saf-MG
Lucas da Cruz Oliveira,Lucas Oliveira,Cruzeiro Saf-MG
Lucas Silva Borges,Lucas Silva,Cruzeiro Saf-MG
Luciano Castan da Silva,Luciano Castan,Cruzeiro Saf-MG
Luis Fernando Santos Oliveira,Luis Fernando,Cruzeiro Saf-MG
Luiz Filipe da Rosa Machado,Filipe Machado,Cruzeiro Saf-MG
Marlon Rodrigues Xavier,Marlon,Cruzeiro Saf-MG
Mateus da Silva Vital Assumpção,Mateus,Cruzeiro Saf-MG
Matheus Fellipe Costa Pereira,Matheus Pereira,Cruzeiro Saf-MG
Matheus Isaias dos Santos,Matheus,Cruzeiro Saf-MG
Maycon Vinicius Ferreira da Cruz,Nikao,Cruzeiro Saf-MG
Otavio Eleodoro Rezende Costa,OTAVIO,Cruzeiro Saf-MG
Paulo Vitor Fernandes Pereira,Paulo Vitor,Cruzeiro Saf-MG
Pedro Henrique Franklim da Silva,Pedrão,Cruzeiro Saf-MG
Rafael Bilu Mudesto,Bilu,Cruzeiro Saf-MG
Rafael Cabral Barbosa,Rafael Cabral,Cruzeiro Saf-MG
Rafael Elias da Silva,Rafael Papagaio,Cruzeiro Saf-MG
Ramiro Moschen Benetti,Ramiro,Cruzeiro Saf-MG
Rhuan Gabriel Rodrigues de Souza Silva,Rhuan Gabriel,Cruzeiro Saf-MG
Richard Candido Coelho,Richard,Time nao encontrado
Robert Vinicius Rodrigues Silva,Robert,Cruzeiro Saf-MG
Ruan Matheus Rodrigues Santos,Ruan Matheus,Cruzeiro Saf-MG
Ruan Silva Fonseca,RUAN,Cruzeiro Saf-MG
Stenio Zanetti Toledo,Stênio,Cruzeiro Saf-MG
Vitor Hugo Amorim de Assis,Vitor Hugo,Cruzeiro Saf-MG
Wallisson Luiz Alves Maximo,Wallisson,Time nao encontrado
Wesley David de Oliveira Andrade,Wesley,Cruzeiro Saf-MG
Wesley Ribeiro Silva,Wesley Ribeiro Silva,Cruzeiro Saf-MG
Weverton Silva de Andrade,Weverton,Cruzeiro Saf-MG
William de Asevedo Furtado,William,Cruzeiro Saf-MG
Alan Pereira Empereur,ALAN,Cuiabá Saf-MT
Allyson Aires dos Santos,Allyson,Cuiabá Saf-MT
Calebe Oliveira Costa,CALEBE,Cuiabá Saf-MT
Clayson Henrique da Silva Vieira,Clayson,Cuiabá Saf-MT
Denilson Alves Borges,Denilson,Cuiabá Saf-MT
Derik Gean Severino Lacerda,DERIK,Cuiabá Saf-MT
Deyverson Brum Silva,Deyverson,Cuiabá Saf-MT
Dyego Luis da Paz Nascimento,Dyego,Cuiabá Saf-MT
Eduardo Vinicius Rodrigues dos Santos,Eduardo,Cuiabá Saf-MT
Emerson Ramon Bezerra Oliveira,Emerson,Cuiabá Saf-MT
Fernando Pereira do Nascimento,Fernando,Cuiabá Saf-MT
Filipe Augusto Carvalho Souza,Filipe Augusto,Cuiabá Saf-MT
Gabryel Vinicius Araújo Freitas,Gabryel,Cuiabá Saf-MT
Gustavo Henrique Ribeiro de Moraes,Gustavo,Cuiabá Saf-MT
Isidro Miguel Pitta Saldivar,PITTA,Cuiabá Saf-MT
Itaro Patric Cardoso Calmon,Patric,Cuiabá Saf-MT
Iury Lirio Freitas de Castilho,Iury,Vitória-BA
Joao Carlos Heidemann,Joao Carlos,Cuiabá Saf-MT
João Victor Araújo Maraninir,JOÃO,Botafogo-SP
Joao Vitor Balbino Cordeiro,Joao Vitor Balbino Cordeiro,Cuiabá Saf-MT
Jonathan Renato Barbosa,Cafu,Cuiabá Saf-MT
Jose Ricardo Batista Cerqueira,RICARDO,Cuiabá Saf-MT
Juan Pablo Vilela Tavares,Juan Tavares,Cuiabá Saf-MT
Leonardo Augusto de Oliveira,Leo Oliveira,Cuiabá Saf-MT
Lucas Cardoso Moreira,Lucas Cardoso,Botafogo-SP
Lucas da Silva Izidoro,Lucas,Cuiabá Saf-MT
Luis Henrique Fonseca Soares,Luis,Cuiabá Saf-MT
Luiz Felipe Mathias Silva,Silva,Cuiabá Saf-MT
Marllon Goncalves Jeronimo Borges,Marllon,Cuiabá Saf-MT
Mateus da Silva Duarte,Matheusinho,Cuiabá Saf-MT
Matheus Alexandre Anastacio de Souza,Matheus Alexandre,Cuiabá Saf-MT
Matheus Jorge Martins dos Santos,Matheus Jorge,Cuiabá Saf-MT
Nicolas Quagliata Platero,Nicolas,Cuiabá Saf-MT
Nilton Amador de Oliveira Filho,Nilton,Cuiabá Saf-MT
Pablo Daniel Ceppelini Gatto,Pablo Ceppelini Gatto,Time nao encontrado
Pablo Henrique Almeida Silva,PABLO,Cuiabá Saf-MT
Rafael Gustavo Meneghel Gava,Rafael Gava,Avaí-SC
Raniele Almeida Melo,Raniele,Cuiabá Saf-MT
Renan Carrasco Veltri,Renan,Cuiabá Saf-MT
Rhyan Luca Carvalho de Arruda,RHYAN,Cuiabá Saf-MT
Rikelme Hernandes Amorim Rocha,RIKELME,Cuiabá Saf-MT
Ronald Barbosa Raposo,Ronald,Cuiabá Saf-MT
Ronald dos Santos Lopes,Ronald,Cuiabá Saf-MT
Tarcisio Lopes Dionizio Muniz,Tarcisio,Cuiabá Saf-MT
Tauan Gabriel da Silva Santos,TAUAN,Cuiabá Saf-MT
Thomas Ubisk da Silva,THOMAS,Cuiabá Saf-MT
Titto Teles Vasconcelos Mattos,TITTO,Cuiabá Saf-MT
Uendel Pereira Goncalves,Uendel,Cuiabá Saf-MT
Victor Matheus dos Santos Gonçalves,Victor Matheus,Cuiabá Saf-MT
Victor Yan Souza Santos,Victor Yan,Time nao encontrado
Vinicius Dorneles Teixeira,Vinicius Dorneles,Cuiabá Saf-MT
Vinicius Gonçalves Boff,Vinicius,Pouso Alegre-MG
Vinicius Pasquini Peruchi,PERUCHI,Cuiabá Saf-MT
Vinicius Teodoro Barreta Melo,Vinicius,Cuiabá Saf-MT
Walter Leandro Capeloza Artune,Walter,Cuiabá Saf-MT
Wellington Alves da Silva,Wellington Silva,Cuiabá Saf-MT
Aderbar Melo dos Santos Neto,Santos,Flamengo-RJ
Adriel Guilherme de Moraes,Adriel,Flamengo-RJ
Agustin Daniel Rossi,ROSSI,Flamengo-RJ
Andre Luiz Inacio da Silva,Andre,Time nao encontrado
Ayrton Lucas Dantas de Medeiros,Ayrton Lucas,Flamengo-RJ
Bruno Henrique Pinto,Bruno Henrique,Flamengo-RJ
Caio Vinicius Garcia Guilhen,Caio,Flamengo-RJ
Cleiton Santana dos Santos,CLEITON,Flamengo-RJ
Daniel dos Santos Sales,Daniel Sales,Flamengo-RJ
Daniel Rogerio de Oliveira,Daniel Rogerio,Flamengo-RJ
Darlan Batista Cobo da Silva,Darlan,Flamengo-RJ
David Luiz Moreira Marinho,David Luiz,Flamengo-RJ
Diego Damasceno dos Santos,Diego Santos,Flamengo-RJ
Erick Antonio Pulgar Farfan,Erick Pulgar,Flamengo-RJ
Euder Galdino da Silva,Euder,Flamengo-RJ
Everton Augusto de Barros Ribeiro,Éverton Ribeiro,Flamengo-RJ
Everton Sousa Soares,Everton,Flamengo-RJ
Evertton Gustavo Fernandes Araujo,Evertton,Flamengo-RJ
Fabricio Bruno Soares de Faria,Fabricio Bruno,Flamengo-RJ
Felipe de Almeida Lima,Felipe,Flamengo-RJ
Felipe Gabriel Cunha Teresa,FELIPE GABRIEL,Flamengo-RJ
Filipe Luis Kasmirski,Filipe Luís,Flamengo-RJ
Francisco Dyogo Bento Alves,Dyogo,Flamengo-RJ
Gabriel Barbosa Almeida,Gabriel Barbosa,Flamengo-RJ
Gerson Santos da Silva,Gerson,Flamengo-RJ
Giorgian Daniel de Arrascaeta Benedetti,De Arrascaeta,Flamengo-RJ
Guillermo Varela Olivera,Varela,Flamengo-RJ
Hugo de Souza Nogueira,Hugo,Time nao encontrado
Iago Teodoro Silva Nogueira,IAGO,Flamengo-RJ
Igor Jesus Lima,Igor Jesus,Flamengo-RJ
Jean Carlos da Silva Lima,Jean Carlos,Flamengo-RJ
Joao Marcos Garcia da Costa,Joao Marcos,Flamengo-RJ
Jose Welinton Campos Menezes,Zé Welinton,Flamengo-RJ
Leonardo Pereira,Leo Pereira,Flamengo-RJ
Lorran Lucas Pereira de Sousa,Lorran,Flamengo-RJ
Luiz de Araujo Guimaraes Neto,Luiz,Flamengo-RJ
Marcos Paulo Lima Batista Silva,Marcos Paulo,Flamengo-RJ
Mario Sergio Santos Costa,Marinho,Fortaleza-CE
Mateus Dias Lima,Mateusão,Time nao encontrado
Matheus Cunha Queiroz,Matheus Cunha,Flamengo-RJ
Matheus França de Oliveira,Matheus França,Time nao encontrado
Matheus Franca Silva,Matheuzinho,Flamengo-RJ
Matheus Gonçalves Martins,Matheus Gonçalves,Red Bull Bragantino-SP
Pablo Nascimento Castro,Pablo,Flamengo-RJ
Pedro Guilherme Abreu dos Santos,Pedro,Flamengo-RJ
Pedro Henrique Fonseca de Araujo Martins,Pedrinho,Flamengo-RJ
Petterson Novaes Reis,Petterson,Flamengo-RJ
Rayan Lucas Marques de Souza,Rayan Lucas,Flamengo-RJ
Rodrigo Caio Coquette Russo,Rodrigo Caio,Flamengo-RJ
Rodrigo Garcia de Lima Baz de Medeiros,Rodrigo,Flamengo-RJ
Thiago Maia Alencar,Thiago Maia,Flamengo-RJ
Victor Hugo Gomes Silva,Victor Hugo,Flamengo-RJ
Wallace Yan de Souza Barreto,Wallace Yan,Flamengo-RJ
Werton de Almeida Rego,Werton,Flamengo-RJ
Wesley Vinicius França Lima,Wesley,Flamengo-RJ
Agner Moura Izigethy de Souza,Agner,Fluminense-RJ
Alan Douglas Borges de Carvalho,Alan,Time nao encontrado
Alexandre de Jesus Jeruzalem Junior,Alexandre Jesus,Tombense-MG
Alexsander Cristhian Gomes da Costa,Alexsander,Fluminense-RJ
André Trindade da Costa Neto,André,Fluminense-RJ
Arthur Wenderrosky Sanches,ARTHUR,Fluminense-RJ
Caio Vinicius da Conceicao,Caio Vinicius,Fluminense-RJ
Claudio Rodrigues Gomes,Guga,Fluminense-RJ
Davi Duarte Schuindt,Davi Schuindt,Fluminense-RJ
David Braz de Oliveira Filho,David Braz,Fluminense-RJ
Diogo Barbosa Mendanha,Diogo Barbosa,Fluminense-RJ
Eder Maciel Lopes,Edinho,Avaí-SC
Erick Nunes Barbosa dos Santos,Erick,Fluminense-RJ
Fabio Deivson Lopes Maciel,Fabio,Fluminense-RJ
Felipe de Andrade Vieira,Felipe Andrade,Fluminense-RJ
Felipe Melo de Carvalho,Felipe Melo,Fluminense-RJ
Francisco Jose Freire de Freitas,Freitas,Fluminense-RJ
Gabriel Cordeiro Pirani,Gabriel Pirani,Time nao encontrado
German Ezequiel Cano,German Cano,Fluminense-RJ
Giovanni Manson Ribeiro,Giovanni,Fluminense-RJ
Gustavo Abreu Dohmann,Dohmann,Fluminense-RJ
Gustavo Ramalho Bremer Pinto,Gustavo Ramalho,Fluminense-RJ
Isaac Rodrigues de Lima,Isaac,Fluminense-RJ
Isaque Severino Silva,Isaque,Fluminense-RJ
Jhon Adolfo Arias Andrade,Jhon Arias,Fluminense-RJ
João Batista da Cruz Santos Neto,João Neto,Fluminense-RJ
João Henrique Mendes da Silva,João Henrique (Esquerdinha),Fluminense-RJ
John Kennedy Batista de Souza,John Kennedy,Fluminense-RJ
Julio Cesar Lima Fidelis,Julio Fidelis,Fluminense-RJ
Kauã Elias Nogueira,Kauã Elias,Fluminense-RJ
Kayky Henrique Almeida Brandão da Silva,Kayky Almeida,Fluminense-RJ
Kevyn Vinicius Medeiros de Freitas,Kevyn,Fluminense-RJ
Leanderson da Silva Genesio,Lelê,Fluminense-RJ
Leonardo Cecilio Fernandez Lopez,Leo Fernandez,Fluminense-RJ
Leonardo de Oliveira Jance,Leonardo,Fluminense-RJ
Luan de Freitas Molarinho Chagas,Luan Freitas,Londrina-PR
Lucas da Silva Justen,Justen,Fluminense-RJ
Luis Fernando Santos da Silva,Luis Fernando,Fluminense-RJ
Manoel Messias Silva Carvalho,Manoel,Fluminense-RJ
Marcelo Vieira da Silva Junior,Marcelo,Fluminense-RJ
Marcilio Florencio Mota Filho,Nino,Fluminense-RJ
Marcos da Silva Franca,Keno,Fluminense-RJ
Marlon Santos da Silva Barbosa,Marlon Santos,Fluminense-RJ
Marrony da Silva Liberato Silveira,Marrony,Time nao encontrado
Matheus dos Reis Francisco,Matheus Reis,Fluminense-RJ
Matheus Martinelli Lima,Martinelli,Fluminense-RJ
Paulo Henrique Chagas de Lima,PH GANSO,Fluminense-RJ
Pedro Felipe de Faria Rangel,Pedro Rangel,Fluminense-RJ
Rafael Monteiro Reis,Rafael Monteiro,Fluminense-RJ
Samuel Xavier Brito,Samuel Xavier,Fluminense-RJ
Thiago dos Santos,Thiago Santos,Fluminense-RJ
Thiago Henrique Gonçalves Silva,Thiago Henrique,Fluminense-RJ
Vinicius Moreira de Lima,Lima,Fluminense-RJ
Vitor Eudes de Souza Costa,Vitor Eudes,Fluminense-RJ
Vitor Mendes Alves,Vitor Mendes,Time nao encontrado
Yony Alexander Gonzalez Copete,Yony Gonzalez,Fluminense-RJ
Alexsandro Amorim de Freitas Filho,Alexsandro,Fortaleza-CE
Alix Vinicius de Souza Sampaio,Alix,Atlético-GO
Bernardo Schappo,Bernardo,Fortaleza-CE
Brayan Andres Ceballos Jimenez,Brayan Ceballos,Time nao encontrado
Bruno de Jesus Pacheco,Bruno Pacheco,Fortaleza-CE
Bruno Guimarães de Souza,Bruno,Fortaleza-CE
Caio Alexandre Sousa E Silva,Caio,Fortaleza-CE
Caio Dantas Batista de Maria,Caio Dantas,Fortaleza-CE
Calebe Gonçalves Ferreira da Silva,Calebe,Fortaleza-CE
Christian Chagas Tarouco,Christian,Fortaleza-CE
Emanuel Britez,Britez,Fortaleza-CE
Fabrício Dias Afonso,Fabrício,Fortaleza-CE
Fernando Miguel Kaufmann,Fernando Miguel,Fortaleza-CE
Geilson de Souza Alves,Geilson,Fortaleza-CE
Glaybson Yago Souza Lisbôa,Yago,Fortaleza-CE
Gonzalo Daniel Escobar,Escobar,Fortaleza-CE
Guilherme Augusto Vieira dos Santos,Guilherme Augusto,Fortaleza-CE
Guilherme de Jesus da Silva,Guilherme,Fortaleza-CE
Habraão Lincon do Nascimento Saraiva,Habraão,Abc-RN
Hercules Pereira do Nascimento,HERCULES,Fortaleza-CE
Imanol Javier Machuca,Machuca,Fortaleza-CE
Joao Ricardo Riedi,João Ricardo,Fortaleza-CE
Jose Romario Silva de Souza,Romarinho,Fortaleza-CE
José Welison da Silva,Welison,Fortaleza-CE
Juan Martin Lucero,Lucero,Fortaleza-CE
Kauan Rodrigues da Silva,Kauan,Fortaleza-CE
Kervin Mario Andrade Navarro,Kervin,Fortaleza-CE
Lucas de Figueiredo Crispim,Lucas Crispim,Fortaleza-CE
Lucas Esteves Souza,Lucas Esteves,Atlético-GO
Lucas Pacheco Affini,Lucas,Fortaleza-CE
Luis Eduardo Marques dos Santos,Dudu,Fortaleza-CE
Marcelo da Conceiçao Benevenuto Malaquias,Marcelo,Fortaleza-CE
Mauricio Kozlinski,Mauricio Kozlinski,Fortaleza-CE
Moises Vieira da Veiga,Moises,Time nao encontrado
Pedro Augusto Borges da Costa,Pedro,Fortaleza-CE
Pedro Rocha Neves,Pedro Rocha,Fortaleza-CE
Riquelme de Sousa Gomes Inacio,Riquelme,Fortaleza-CE
Sammuel Queiroz de Freitas,Sammuel,Atlético-GO
Silvio Ezequiel Romero,Silvio Romero,Fortaleza-CE
Thiago Galhardo do Nascimento Rocha,Thiago Galhardo,Fortaleza-CE
Tobias Pereira Figueiredo,Tobias,Fortaleza-CE
Tomas Pochettino,Pochettino,Fortaleza-CE
Vinicius Nelson de Souza Zanocelo,Zanocelo,Fortaleza-CE
Alesson dos Santos Batista,Alesson,Goiás-GO
Allano Brendon de Souza Lima,Allano,Goiás-GO
Anderson de Oliveira da Silva,Anderson,Goiás-GO
Ariel Felipe Gomes da Rosa,Ariel,Londrina-PR
Breno Herculano Almeida,Breno,Goiás-GO
Bruno Araujo Santos,Bruno,Goiás-GO
Bruno Ferreira Melo,Bruno,Goiás-GO
Daniel Camargo Nolasco,Nolasco,Goiás-GO
Denzel Nogueira Damasceno,DENZEL,Goiás-GO
Diego Goncalves,Diego,Goiás-GO
Eduardo Simioni,Simioni,Goiás-GO
Everton Morelli Casimiro,Morelli,Goiás-GO
Ezequiel Alves de Oliveira Vieira,Ezequiel,Goiás-GO
Fellipe Ramos Ignez Bastos,Fellipe Bastos,Avaí-SC
Gabriel Novaes Fernandes,Gabriel Novaes,Goiás-GO
Guilherme Costa Marques,Guilherme,Goiás-GO
Gustavo Xavier Teixeira,Xavier,Goiás-GO
Halerrandrio dos Santos Feitosa,Halerrandrio,Goiás-GO
Heron Crespo da Silva,Heron Crespo,Atlético-GO
Higor Matheus Meritao,Higor,Goiás-GO
Hugo Ferreira de Farias,Hugo,Goiás-GO
Jackson Diego Ibraim Fagundes,Jackson,Goiás-GO
Jhonny Lucas Flora Barboza,Jhonny,Vitória-BA
Joao Victo Magno de Souza Machado,Joao,Goiás-GO
Jose Ricardo Araujo Fernandes,Zé Ricardo,Tombense-MG
Julian Eduardo Palacios,Julian,Goiás-GO
Lucas Eduardo Ribeiro de Souza,Edu,Goiás-GO
Lucas Emmanuel Araujo Macedo,LUCAS,Aparecida Esporte Clube-GO
Lucas Halter,Halter,Goiás-GO
Luis Antonio Ferreira Rodrigues,Luis,Sport-PE
Luis Felipe Nascimento Miranda,Mina,Goiás-GO
Luis Felipe Oyama,Luis,Goiás-GO
Luiz Diallisson de Souza Alves,Apodi,Goiás-GO
Luiz Filipe dos Reis Silva,Luiz Filipe,Sao Bernardo Fc-SP
Magno Jose da Silva,Magno Jose,Goiás-GO
Marcelo Rangel Rosa,Rangel,Goiás-GO
Matheus Alves da Silva Cardoso,Matheus Alves,Goiás-GO
Matheus Barcelos da Silva,Matheus Babi,Goiás-GO
Matheus Santos Soares,Matheus,Mirassol-SP
Matheus Vieira Campos Peixoto,Matheus Peixoto,Atlético-GO
Nathan Melo Silva,Nathan,Abc-RN
Nicolas Godinho Johann,Nicolas,Ceará-CE
Pedro Junqueira de Oliveira,Pedrinho,Goiás-GO
Philippe Almeida Costa,Philippe,Goiás-GO
Raphael Gregorio Guzzo,Raphael Guzzo,Goiás-GO
Sander Henrique Bortolotto,Sander,Goiás-GO
Sidimar Fernando Cigolini,Sidimar,Goiás-GO
Tadeu Antonio Ferreira,Tadeu,Goiás-GO
Vinicius Rodrigues Adelino dos Santos,Vinicius,Goiás-GO
Vinicius Santos Silva,Vinicius,Goiás-GO
Wendell Silva Santos dos Santos,Wendell,Time nao encontrado
Willian Osmar de Oliveira Silva,Willian Oliveira,Goiás-GO
Aldemir dos Santos Ferreira,Ferreira,Grêmio-RS
Andre Henrique da Silva Martins,Andre,Grêmio-RS
Brenno Oliveira Fraga Costa,Brenno,Time nao encontrado
Bruno Fabiano Alves,Bruno Alves,Grêmio-RS
Bruno Uvini Bortolanca,Uvini,Grêmio-RS
Caique Luiz Santos da Purificacao,Caique,Grêmio-RS
Cassio Penafiel Acosta,Cássio,Grêmio-RS
Darlan Pereira Mendes,Darlan,Time nao encontrado
Diego de Souza Andrade,Diego Souza,Sport-PE
Everton Galdino Moreira,Galdino,Grêmio-RS
Fabio Pereira da Silva,Fabio,Grêmio-RS
Felipe Ignacio Carballo Ares,Carballo,Grêmio-RS
Felipe Mateus Scheibig,Felipe,Grêmio-RS
